time,semitone,f0
0.02,0,0.0
0.03,0,0.0
0.04,0,0.0
0.05,0,0.0
0.06,0,0.0
0.07,0,0.0
0.08,0,0.0
0.09,0,0.0
0.1,0,0.0
0.11,0,0.0
0.12,0,0.0
0.13,0,0.0
0.14,0,0.0
0.15,0,0.0
0.16,0,0.0
0.17,0,0.0
0.18,0,0.0
0.19,0,0.0
0.2,0,0.0
0.21,0,0.0
0.22,0,0.0
0.23,0,0.0
0.24,0,0.0
0.25,0,0.0
0.26,0,0.0
0.27,0,0.0
0.28,0,0.0
0.29,0,0.0
0.3,0,0.0
0.31,0,0.0
0.32,0,0.0
0.33,0,0.0
0.34,0,0.0
0.35,0,0.0
0.36,0,0.0
0.37,0,0.0
0.38,52,161.298
0.39,51,155.949
0.4,50,145.065
0.41,49,139.455
0.42,49,138.06
0.43,49,135.101
0.44,48,133.865
0.45,48,132.003
0.46,48,130.578
0.47,48,129.493
0.48,48,128.704
0.49,48,128.932
0.5,48,129.321
0.51,48,129.845
0.52,48,130.02
0.53,48,130.595
0.54,48,130.679
0.55,48,130.806
0.56,48,131.508
0.57,48,131.565
0.58,48,130.673
0.59,48,128.672
0.6,48,129.43
0.61,48,130.511
0.62,48,132.416
0.63,48,134.052
0.64,48,133.36
0.65,48,132.667
0.66,48,131.68
0.67,48,130.731
0.68,48,130.812
0.69,48,131.501
0.7,48,131.424
0.71,48,130.572
0.72,48,129.3
0.73,48,128.54
0.74,48,127.933
0.75,48,127.702
0.76,48,127.365
0.77,47,127.026
0.78,48,127.298
0.79,48,127.816
0.8,48,127.682
0.81,48,127.715
0.82,48,127.966
0.83,48,127.887
0.84,48,127.459
0.85,47,126.889
0.86,47,126.245
0.87,47,126.452
0.88,47,126.683
0.89,48,127.416
0.9,48,128.586
0.91,48,130.358
0.92,48,130.673
0.93,48,130.712
0.94,48,131.314
0.95,48,133.08
0.96,48,133.564
0.97,48,132.946
0.98,48,131.809
0.99,48,130.45
1.0,48,130.36
1.01,48,129.713
1.02,48,128.878
1.03,48,128.582
1.04,48,128.728
1.05,48,128.384
1.06,48,128.881
1.07,48,127.885
1.08,48,127.69
1.09,48,127.339
1.1,47,126.003
1.11,47,122.761
1.12,47,123.233
1.13,0,0.0
1.14,0,0.0
1.15,0,0.0
1.16,0,0.0
1.17,0,0.0
1.18,0,0.0
1.19,0,0.0
1.2,0,0.0
1.21,0,0.0
1.22,0,0.0
1.23,0,0.0
1.24,53,176.838
1.25,52,164.571
1.26,51,157.36
1.27,51,158.811
1.28,51,159.722
1.29,51,159.947
1.3,51,158.974
1.31,51,158.446
1.32,51,158.709
1.33,51,159.277
1.34,51,159.515
1.35,51,159.68
1.36,52,160.633
1.37,52,161.678
1.38,52,162.461
1.39,52,163.271
1.4,52,164.258
1.41,52,164.543
1.42,52,161.626
1.43,51,158.646
1.44,51,159.671
1.45,0,0.0
1.46,0,0.0
1.47,0,0.0
1.48,0,0.0
1.49,0,0.0
1.5,0,0.0
1.51,0,0.0
1.52,0,0.0
1.53,0,0.0
1.54,0,0.0
1.55,55,193.875
1.56,55,191.35
1.57,54,186.472
1.58,54,185.627
1.59,54,185.779
1.6,54,185.809
1.61,54,185.505
1.62,54,184.292
1.63,54,184.287
1.64,54,184.606
1.65,54,185.468
1.66,54,186.596
1.67,54,187.527
1.68,54,187.385
1.69,54,186.85
1.7,54,186.774
1.71,54,186.789
1.72,54,184.308
1.73,54,182.556
1.74,54,185.357
1.75,54,185.85
1.76,54,187.372
1.77,54,189.924
1.78,55,193.163
1.79,55,195.083
1.8,55,196.937
1.81,55,196.826
1.82,55,195.258
1.83,55,194.365
1.84,55,193.633
1.85,55,193.266
1.86,55,193.183
1.87,55,193.105
1.88,55,192.678
1.89,55,192.189
1.9,55,192.039
1.91,55,191.928
1.92,55,191.793
1.93,55,192.006
1.94,55,192.418
1.95,55,192.883
1.96,55,192.846
1.97,55,192.81
1.98,55,192.49
1.99,55,192.623
2.0,55,192.41
2.01,55,191.842
2.02,55,191.303
2.03,54,190.292
2.04,54,188.333
2.05,54,185.143
2.06,54,183.494
2.07,54,184.874
2.08,54,189.504
2.09,55,191.9
2.1,55,195.271
2.11,55,197.617
2.12,55,197.952
2.13,55,197.753
2.14,55,196.992
2.15,55,196.073
2.16,55,195.638
2.17,55,195.402
2.18,55,194.607
2.19,55,193.559
2.2,55,193.04
2.21,55,192.654
2.22,55,192.121
2.23,55,191.475
2.24,54,190.349
2.25,54,189.555
2.26,54,189.165
2.27,54,189.006
2.28,54,189.108
2.29,54,189.524
2.3,54,189.749
2.31,54,189.799
2.32,54,190.131
2.33,55,190.611
2.34,55,190.445
2.35,54,190.187
2.36,54,190.181
2.37,54,190.261
2.38,55,190.482
2.39,55,190.559
2.4,54,189.926
2.41,54,189.55
2.42,54,189.513
2.43,54,189.422
2.44,54,189.683
2.45,54,189.477
2.46,54,189.229
2.47,54,189.336
2.48,54,189.348
2.49,54,189.286
2.5,54,188.82
2.51,54,187.617
2.52,54,185.841
2.53,54,182.162
2.54,53,179.054
2.55,53,175.39
2.56,53,173.895
2.57,54,183.02
2.58,0,0.0
2.59,0,0.0
2.6,0,0.0
2.61,0,0.0
2.62,0,0.0
2.63,0,0.0
2.64,0,0.0
2.65,56,206.995
2.66,56,208.757
2.67,56,208.259
2.68,56,205.381
2.69,56,203.489
2.7,56,203.025
2.71,56,203.147
2.72,56,202.4
2.73,56,203.073
2.74,56,205.337
2.75,56,208.074
2.76,56,209.658
2.77,56,210.745
2.78,56,211.509
2.79,56,212.349
2.8,56,213.674
2.81,57,214.95
2.82,57,215.084
2.83,57,215.798
2.84,57,217.012
2.85,57,217.016
2.86,57,215.845
2.87,57,215.222
2.88,57,215.429
2.89,57,218.323
2.9,57,219.283
2.91,57,218.868
2.92,57,218.334
2.93,57,217.325
2.94,57,216.395
2.95,57,215.937
2.96,57,215.62
2.97,57,215.591
2.98,57,216.07
2.99,57,216.665
3.0,57,217.522
3.01,57,217.79
3.02,57,217.292
3.03,57,217.24
3.04,57,217.779
3.05,57,217.834
3.06,57,217.425
3.07,57,216.525
3.08,57,215.847
3.09,57,215.918
3.1,57,216.268
3.11,57,216.81
3.12,57,217.704
3.13,57,218.863
3.14,57,219.589
3.15,57,219.72
3.16,57,220.086
3.17,57,220.602
3.18,57,221.158
3.19,57,221.378
3.2,57,220.96
3.21,57,219.815
3.22,57,217.851
3.23,57,216.282
3.24,57,216.029
3.25,57,216.288
3.26,57,216.747
3.27,57,216.869
3.28,57,216.827
3.29,57,217.368
3.3,57,217.925
3.31,57,218.356
3.32,57,218.997
3.33,57,218.923
3.34,57,217.73
3.35,57,215.412
3.36,0,0.0
3.37,0,0.0
3.38,0,0.0
3.39,0,0.0
3.4,0,0.0
3.41,0,0.0
3.42,0,0.0
3.43,0,0.0
3.44,0,0.0
3.45,0,0.0
3.46,61,272.29
3.47,60,259.794
3.48,60,257.038
3.49,60,257.1
3.5,60,256.905
3.51,60,255.943
3.52,60,255.466
3.53,60,254.941
3.54,60,254.267
3.55,59,254.007
3.56,59,253.63
3.57,59,253.457
3.58,59,252.46
3.59,59,251.362
3.6,59,250.519
3.61,59,249.456
3.62,59,248.555
3.63,59,247.962
3.64,59,247.91
3.65,59,247.026
3.66,59,245.021
3.67,58,239.815
3.68,57,215.4
3.69,0,0.0
3.7,0,0.0
3.71,0,0.0
3.72,0,0.0
3.73,74,573.587
3.74,74,573.211
3.75,73,565.166
3.76,0,0.0
3.77,0,0.0
3.78,55,198.413
3.79,54,185.408
3.8,54,184.652
3.81,54,186.095
3.82,54,186.583
3.83,54,185.929
3.84,54,186.323
3.85,54,187.186
3.86,54,187.786
3.87,54,188.595
3.88,54,189.288
3.89,54,189.879
3.9,54,190.173
3.91,55,190.571
3.92,55,190.578
3.93,54,189.941
3.94,54,189.06
3.95,54,188.405
3.96,54,187.859
3.97,54,187.179
3.98,54,187.182
3.99,54,187.315
4.0,54,187.782
4.01,54,188.635
4.02,55,190.54
4.03,55,192.86
4.04,55,195.29
4.05,55,195.175
4.06,55,194.749
4.07,55,193.753
4.08,55,192.641
4.09,55,191.574
4.1,55,190.942
4.11,54,190.383
4.12,54,189.489
4.13,54,187.92
4.14,54,185.092
4.15,54,182.999
4.16,54,182.303
4.17,54,182.317
4.18,54,186.772
4.19,55,198.263
4.2,0,0.0
4.21,0,0.0
4.22,0,0.0
4.23,0,0.0
4.24,0,0.0
4.25,0,0.0
4.26,0,0.0
4.27,0,0.0
4.28,0,0.0
4.29,0,0.0
4.3,0,0.0
4.31,0,0.0
4.32,0,0.0
4.33,0,0.0
4.34,0,0.0
4.35,0,0.0
4.36,0,0.0
4.37,0,0.0
4.38,0,0.0
4.39,0,0.0
4.4,0,0.0
4.41,0,0.0
4.42,0,0.0
4.43,0,0.0
4.44,0,0.0
4.45,0,0.0
4.46,0,0.0
4.47,0,0.0
4.48,0,0.0
4.49,0,0.0
4.5,0,0.0
4.51,0,0.0
4.52,0,0.0
4.53,0,0.0
4.54,0,0.0
4.55,0,0.0
4.56,0,0.0
4.57,0,0.0
4.58,0,0.0
4.59,0,0.0
4.6,0,0.0
4.61,0,0.0
4.62,0,0.0
4.63,0,0.0
4.64,0,0.0
4.65,0,0.0
4.66,0,0.0
4.67,0,0.0
4.68,0,0.0
4.69,0,0.0
4.7,0,0.0
4.71,0,0.0
4.72,0,0.0
4.73,0,0.0
4.74,0,0.0
4.75,0,0.0
4.76,0,0.0
4.77,0,0.0
4.78,0,0.0
4.79,0,0.0
4.8,52,160.598
4.81,51,154.952
4.82,51,151.834
4.83,51,153.039
4.84,51,157.875
4.85,51,159.775
4.86,51,158.976
4.87,52,160.863
4.88,52,162.518
4.89,52,164.224
4.9,52,165.707
4.91,52,167.126
4.92,52,168.607
4.93,52,169.248
4.94,52,169.182
4.95,52,168.91
4.96,52,168.84
4.97,52,168.529
4.98,52,168.287
4.99,52,168.46
5.0,52,168.833
5.01,52,168.651
5.02,52,167.741
5.03,52,167.075
5.04,52,165.795
5.05,52,164.921
5.06,52,164.472
5.07,52,164.225
5.08,52,164.532
5.09,52,166.445
5.1,52,169.571
5.11,53,171.124
5.12,53,171.46
5.13,53,171.675
5.14,53,172.11
5.15,53,172.67
5.16,53,173.299
5.17,53,173.664
5.18,53,173.927
5.19,53,173.93
5.2,53,173.434
5.21,53,172.76
5.22,53,172.251
5.23,53,172.365
5.24,53,172.406
5.25,53,173.104
5.26,53,172.645
5.27,53,170.109
5.28,52,161.169
5.29,51,160.045
5.3,52,164.835
5.31,0,0.0
5.32,0,0.0
5.33,0,0.0
5.34,0,0.0
5.35,0,0.0
5.36,54,185.254
5.37,54,180.494
5.38,53,177.886
5.39,53,177.838
5.4,53,176.732
5.41,53,174.23
5.42,53,171.025
5.43,52,169.239
5.44,52,167.685
5.45,52,166.699
5.46,52,166.992
5.47,52,167.458
5.48,52,167.839
5.49,52,168.218
5.5,52,168.051
5.51,52,167.287
5.52,52,166.732
5.53,52,166.177
5.54,52,164.616
5.55,52,167.234
5.56,52,168.976
5.57,53,170.553
5.58,53,172.16
5.59,53,174.729
5.6,53,177.492
5.61,54,180.528
5.62,54,183.324
5.63,54,186.238
