time,semitone,f0
0.025,46,116.245
0.036,46,115.704
0.046,46,115.7
0.057,46,115.793
0.068,39,77.043
0.079,39,77.211
0.089,39,77.205
0.1,42,92.848
0.111,46,115.977
0.121,46,115.756
0.132,46,115.966
0.143,39,77.083
0.154,39,77.202
0.164,39,77.294
0.175,39,77.023
0.186,39,77.308
0.196,39,77.204
0.207,39,77.286
0.218,39,77.091
0.229,39,77.227
0.239,39,77.3
0.25,39,77.171
0.261,39,77.342
0.271,39,77.285
0.282,39,77.151
0.293,39,77.134
0.304,39,77.356
0.314,39,77.399
0.325,39,77.1
0.336,39,77.227
0.346,39,77.227
0.357,39,77.304
0.368,39,77.146
0.379,39,77.11
0.389,39,77.424
0.4,39,77.151
0.411,39,77.217
0.421,39,77.287
0.432,39,77.299
0.443,39,77.43
0.454,39,77.185
0.464,39,77.3
0.475,39,77.226
0.486,39,77.186
0.496,39,77.209
0.507,39,77.222
0.518,39,77.318
0.529,39,77.151
0.539,39,77.064
0.55,39,77.226
0.561,39,77.02
0.571,39,77.338
0.582,39,77.054
0.593,39,77.264
0.604,39,77.302
0.614,39,77.156
0.625,39,77.351
0.636,39,77.024
0.646,39,77.255
0.657,39,77.16
0.668,39,77.192
0.679,39,77.389
0.689,39,77.322
0.7,39,77.287
0.711,39,77.027
0.721,39,77.213
0.732,39,77.288
0.743,39,77.066
0.754,39,77.261
0.764,39,77.201
0.775,39,77.259
0.786,39,77.154
0.796,39,77.115
0.807,39,77.452
0.818,39,77.058
0.829,39,77.138
0.839,51,154.484
0.85,51,155.016
0.861,51,155.065
0.871,51,154.311
0.882,51,154.375
0.893,50,145.429
0.904,49,135.64
0.914,48,133.794
0.925,48,132.73
0.936,48,131.448
0.946,48,131.347
0.957,48,131.164
0.968,48,131.573
0.979,48,130.704
0.989,48,130.774
1,48,132.241
1.011,48,133.72
1.021,48,133.938
1.032,49,136.461
1.043,49,137.364
1.054,49,138.852
1.064,49,138.339
1.075,49,138.431
1.086,49,138.829
1.096,49,139.38
1.107,49,137.587
1.118,49,136.275
1.129,48,134.545
1.139,48,134.396
1.15,49,134.925
1.161,49,134.665
1.171,48,134.086
1.182,48,134.581
1.193,48,133.63
1.204,48,132.766
1.214,51,152.406
1.225,51,154.475
1.236,51,154.101
1.246,51,154.559
1.257,51,154.333
1.268,53,173.469
1.279,52,160.421
1.289,50,147.172
1.3,50,145.692
1.311,50,145.453
1.321,50,145.085
1.332,50,144.76
1.343,50,144.846
1.354,50,144.8
1.364,50,144.774
1.375,50,145.128
1.386,50,145.31
1.396,50,145.609
1.407,50,144.59
1.418,50,144.178
1.429,50,143.345
1.439,49,141.42
1.45,49,141.422
1.461,50,149.995
1.471,51,158.722
1.482,51,158.156
1.493,52,162.43
1.504,52,160.381
1.514,51,158.145
1.525,51,157.333
1.536,51,156.902
1.546,51,156.625
1.557,51,156.937
1.568,51,157.155
1.579,51,157.1
1.589,51,157.092
1.6,51,157.521
1.611,51,157.865
1.621,51,158.242
1.632,51,158.636
1.643,51,158.722
1.654,51,159.452
1.664,52,160.504
1.675,52,161.307
1.686,52,161.917
1.696,52,162.268
1.707,52,162.418
1.718,52,162.335
1.729,52,162.312
1.739,52,162.232
1.75,52,162.387
1.761,52,162.198
1.771,52,162.121
1.782,52,162.388
1.793,52,162.147
1.804,52,162.006
1.814,52,161.591
1.825,52,160.796
1.836,51,154.456
1.846,51,155.595
1.857,51,154.739
1.868,51,153.714
1.879,51,153.21
1.889,51,153.316
1.9,51,156.283
1.911,52,164.614
1.921,52,164.197
1.932,52,163.667
1.943,52,161.996
1.954,52,160.406
1.964,51,160.085
1.975,51,159.97
1.986,51,159.928
1.996,51,159.806
2.007,51,159.741
2.018,51,160.034
2.029,52,160.555
2.039,52,160.999
2.05,52,160.975
2.061,52,161.008
2.071,52,161.2
2.082,52,161.657
2.093,52,162.2
2.104,52,162.42
2.114,52,162.628
2.125,52,163.133
2.136,52,163.202
2.146,52,162.881
2.157,52,162.588
2.168,52,162.26
2.179,52,162.902
2.189,52,163.082
2.2,52,163.49
2.211,52,164.105
2.221,52,164.038
2.232,52,163.915
2.243,52,163.671
2.254,52,163.064
2.264,52,162.301
2.275,52,161.629
2.286,52,160.378
2.296,51,157.123
2.307,51,153.769
2.318,51,152.094
2.329,51,151.306
2.339,50,150.862
2.35,51,152.76
2.361,51,154.323
2.371,51,154.314
2.382,51,154.85
2.414,52,164.623
2.425,51,157.674
2.436,51,151.334
2.446,50,148.924
2.457,50,148.348
2.468,50,148.311
2.479,50,148.308
2.489,50,148.233
2.5,50,148.333
2.511,50,148.629
2.521,50,148.386
2.532,50,147.713
2.543,50,147.11
2.554,50,145.647
2.564,49,139.733
2.575,49,140.249
2.586,48,133.623
2.596,48,131.733
2.607,50,142.686
2.618,49,141.887
2.629,49,141.382
2.639,49,139.833
2.65,49,138.75
2.661,49,139.084
2.671,49,138.835
2.682,49,137.995
2.693,49,137.113
2.704,49,136.074
2.714,49,134.699
2.725,48,134.42
2.736,48,134.464
2.746,48,134.095
2.757,48,133.859
2.768,48,133.296
2.779,48,129.476
2.789,48,132.235
2.8,48,131.377
2.811,48,132.48
2.821,49,136.325
2.832,50,148.799
2.843,50,148.877
2.854,50,147.572
2.864,50,147.452
2.875,50,147.364
2.886,50,147.238
2.896,50,147.385
2.907,50,147.414
2.918,50,148.104
2.929,50,148.696
2.939,50,149.149
2.95,50,151.001
2.961,51,151.165
2.971,50,149.015
2.982,51,153.053
2.993,51,153.024
3.004,51,153.641
3.014,52,168.597
3.025,53,171.148
3.036,53,171.671
3.046,53,170.701
3.057,52,167.635
3.068,52,165.627
3.079,52,164.488
3.089,52,164.175
3.1,52,164.281
3.111,52,164.676
3.121,52,165.406
3.132,52,166.152
3.143,52,166.484
3.154,52,166.545
3.164,52,165.956
3.175,52,164.39
3.186,52,162.096
3.196,51,157.38
3.207,51,153.855
3.218,51,152.448
3.229,51,152.085
3.239,51,154.349
3.25,51,154.503
3.261,51,153.603
3.304,50,142.986
3.314,49,139.938
3.325,49,139.032
3.336,49,138.361
3.346,49,138.73
3.357,49,138.507
3.368,49,138.25
3.379,49,138.646
3.389,49,138.542
3.4,49,138.237
3.411,49,138.555
3.421,49,138.325
3.432,49,137.993
3.443,49,137.467
3.454,49,137.018
3.464,49,136.816
3.475,49,137.15
3.486,49,137.38
3.496,49,137.516
3.507,49,137.15
3.518,49,136.626
3.529,49,136.554
3.539,49,136.365
3.55,49,136.578
3.561,49,136.281
3.571,49,136.172
3.582,49,135.986
3.593,49,135.526
3.604,49,135.563
3.614,49,135.631
3.625,48,132.761
3.636,48,130.451
3.646,47,126.585
3.657,46,118.03
3.668,46,117.237
3.679,46,116.927
3.689,51,153.686
3.7,51,154.883
3.732,48,127.3
3.743,47,123.557
3.754,47,122.315
3.764,46,119.69
3.775,46,117.667
3.786,46,116.38
3.796,46,114.792
3.807,46,114.845
3.818,46,114.834
3.829,46,114.129
3.839,46,114.579
3.85,46,114.276
3.861,46,114.164
3.871,46,114.476
3.882,46,114.288
3.893,46,114.511
3.904,46,114.442
3.914,46,114.027
3.925,46,114.171
3.936,46,114.618
3.946,46,115.245
3.957,46,115.206
3.968,46,114.948
3.979,46,115.15
3.989,46,114.972
4,46,115.257
4.011,46,116.198
4.021,46,116.892
4.032,46,117.012
4.043,46,117.584
4.054,46,117.126
4.064,46,117.441
4.075,46,116.679
4.086,46,116.563
4.096,46,117.092
4.107,46,116.19
4.118,46,116.105
4.129,46,115.886
