time,semitone,f0
0.025,70,464.682
0.036,70,464.305
0.046,70,466.008
0.057,70,466.845
0.068,70,466.57
0.079,70,468.487
0.089,70,467.852
0.1,70,468.874
0.111,70,468.138
0.121,70,465.192
0.132,70,464.63
0.143,70,461.311
0.154,70,462.568
0.164,70,462.972
0.175,70,462.124
0.186,70,466.145
0.196,70,467.31
0.207,70,466.123
0.218,70,463.788
0.229,70,464.246
0.239,70,463.893
0.25,70,463.764
0.261,70,464.488
0.271,70,465.466
0.282,70,466.146
0.293,70,465.658
0.304,70,464.048
0.314,70,463.545
0.325,70,464.426
0.336,70,465.368
0.346,70,463.205
0.357,70,463.673
0.368,70,464.812
0.379,70,464.809
0.389,70,467.836
0.4,70,461.811
0.411,70,462.737
0.421,70,463.342
0.432,70,464.605
0.443,70,466.555
0.454,70,463.383
0.464,70,463.959
0.475,70,463.592
0.486,70,464.278
0.496,70,462.755
0.507,70,463.987
0.518,70,464.988
0.529,70,465.081
0.539,70,462.066
0.55,70,463.508
0.561,70,462.199
0.571,70,462.379
0.582,70,459.607
0.593,70,462.973
0.604,70,465.41
0.614,70,466.138
0.625,70,465.081
0.636,70,460.162
0.646,70,464.707
0.657,70,464.751
0.668,70,464.358
0.679,70,463.654
0.689,70,463.314
0.7,70,465.577
0.711,70,462.184
0.721,70,462.813
0.732,70,465.354
0.743,70,464
0.754,70,465.816
0.764,70,462.748
0.775,70,463.271
0.786,70,466.664
0.796,70,466.343
0.807,70,465.643
0.818,70,462.027
0.829,70,463.868
0.839,70,465.381
0.85,70,464.974
0.861,70,464.63
0.882,51,154.375
0.893,50,145.429
0.904,49,135.64
0.914,48,133.794
0.925,48,132.73
0.936,48,131.448
0.946,48,131.347
0.957,48,131.164
0.968,48,131.573
0.979,48,130.704
0.989,48,130.774
1,48,132.241
1.011,48,133.72
1.021,48,133.938
1.032,49,136.461
1.043,49,137.364
1.054,49,138.852
1.064,49,138.339
1.075,49,138.431
1.086,49,138.829
1.096,49,139.38
1.107,49,137.587
1.118,49,136.275
1.129,48,134.545
1.139,48,134.396
1.15,49,134.925
1.161,49,134.665
1.171,48,134.086
1.182,48,134.581
1.193,48,133.63
1.204,48,132.766
1.214,51,152.406
1.225,51,154.475
1.236,51,154.101
1.246,51,154.559
1.257,51,154.333
1.268,53,173.469
1.279,52,160.421
1.289,50,147.172
1.3,50,145.692
1.311,50,145.453
1.321,50,145.085
1.332,50,144.76
1.343,50,144.846
1.354,50,144.8
1.364,50,144.774
1.375,50,145.128
1.386,50,145.31
1.396,50,145.609
1.407,50,144.59
1.418,50,144.178
1.429,50,143.345
1.439,49,141.42
1.45,49,141.422
1.461,50,149.995
1.471,51,158.722
1.482,51,158.156
1.493,52,162.43
1.504,52,160.381
1.514,51,158.145
1.525,51,157.333
1.536,51,156.902
1.546,51,156.625
1.557,51,156.937
1.568,51,157.155
1.579,51,157.1
1.589,51,157.092
1.6,51,157.521
1.611,51,157.865
1.621,51,158.242
1.632,51,158.636
1.643,51,158.722
1.654,51,159.452
1.664,52,160.504
1.675,52,161.307
1.686,52,161.917
1.696,52,162.268
1.707,52,162.418
1.718,52,162.335
1.729,52,162.312
1.739,52,162.232
1.75,52,162.387
1.761,52,162.198
1.771,52,162.121
1.782,52,162.388
1.793,52,162.147
1.804,52,162.006
1.814,52,161.591
1.825,52,160.796
1.836,51,154.456
1.846,51,155.595
1.857,51,154.739
1.868,51,153.714
1.879,51,153.21
1.889,51,153.316
1.9,51,156.283
1.911,52,164.614
1.921,52,164.197
1.932,52,163.667
1.943,52,161.996
1.954,52,160.406
1.964,51,160.085
1.975,51,159.97
1.986,51,159.928
1.996,51,159.806
2.007,51,159.741
2.018,51,160.034
2.029,52,160.555
2.039,52,160.999
2.05,52,160.975
2.061,52,161.008
2.071,52,161.2
2.082,52,161.657
2.093,52,162.2
2.104,52,162.42
2.114,52,162.628
2.125,52,163.133
2.136,52,163.202
2.146,52,162.881
2.157,52,162.588
2.168,52,162.26
2.179,52,162.902
2.189,52,163.082
2.2,52,163.49
2.211,52,164.105
2.221,52,164.038
2.232,52,163.915
2.243,52,163.671
2.254,52,163.064
2.264,52,162.301
2.275,52,161.629
2.286,52,160.378
2.296,51,157.123
2.307,51,153.769
2.318,51,152.094
2.329,51,151.306
2.339,50,150.862
2.35,51,152.76
2.361,51,154.323
2.371,51,154.314
2.382,51,154.85
2.414,52,164.623
2.425,51,157.674
2.436,51,151.334
2.446,50,148.924
2.457,50,148.348
2.468,50,148.311
2.479,50,148.308
2.489,50,148.233
2.5,50,148.333
2.511,50,148.629
2.521,50,148.386
2.532,50,147.713
2.543,50,147.11
2.554,50,145.647
2.564,49,139.733
2.575,49,140.249
2.586,48,133.623
2.596,48,131.733
2.607,50,142.686
2.618,49,141.887
2.629,49,141.382
2.639,49,139.833
2.65,49,138.75
2.661,49,139.084
2.671,49,138.835
2.682,49,137.995
2.693,49,137.113
2.704,49,136.074
2.714,49,134.699
2.725,48,134.42
2.736,48,134.464
2.746,48,134.095
2.757,48,133.859
2.768,48,133.296
2.779,48,129.476
2.789,48,132.235
2.8,48,131.377
2.811,48,132.48
2.821,49,136.325
2.832,50,148.799
2.843,50,148.877
2.854,50,147.572
2.864,50,147.452
2.875,50,147.364
2.886,50,147.238
2.896,50,147.385
2.907,50,147.414
2.918,50,148.104
2.929,50,148.696
2.939,50,149.149
2.95,50,151.001
2.961,51,151.165
2.971,50,149.015
2.982,51,153.053
2.993,51,153.024
3.004,51,153.641
3.014,52,168.597
3.025,53,171.148
3.036,53,171.671
3.046,53,170.701
3.057,52,167.635
3.068,52,165.627
3.079,52,164.488
3.089,52,164.175
3.1,52,164.281
3.111,52,164.676
3.121,52,165.406
3.132,52,166.152
3.143,52,166.484
3.154,52,166.545
3.164,52,165.956
3.175,52,164.39
3.186,52,162.096
3.196,51,157.38
3.207,51,153.855
3.218,51,152.448
3.229,51,152.085
3.239,51,154.349
3.25,51,154.503
3.261,51,153.603
3.304,50,142.986
3.314,49,139.938
3.325,49,139.032
3.336,49,138.361
3.346,49,138.73
3.357,49,138.507
3.368,49,138.25
3.379,49,138.646
3.389,49,138.542
3.4,49,138.237
3.411,49,138.555
3.421,49,138.325
3.432,49,137.993
3.443,49,137.467
3.454,49,137.018
3.464,49,136.816
3.475,49,137.15
3.486,49,137.38
3.496,49,137.516
3.507,49,137.15
3.518,49,136.626
3.529,49,136.554
3.539,49,136.365
3.55,49,136.578
3.561,49,136.281
3.571,49,136.172
3.582,49,135.986
3.593,49,135.526
3.604,49,135.563
3.614,49,135.631
3.625,48,132.761
3.636,48,130.451
3.646,47,126.585
3.657,46,118.03
3.668,46,117.237
3.679,46,116.927
3.689,51,153.686
3.7,51,154.883
3.732,48,127.3
3.743,47,123.557
3.754,47,122.315
3.764,46,119.69
3.775,46,117.667
3.786,46,116.38
3.796,46,114.792
3.807,46,114.845
3.818,46,114.834
3.829,46,114.129
3.839,46,114.579
3.85,46,114.276
3.861,46,114.164
3.871,46,114.476
3.882,46,114.288
3.893,46,114.511
3.904,46,114.442
3.914,46,114.027
3.925,46,114.171
3.936,46,114.618
3.946,46,115.245
3.957,46,115.206
3.968,46,114.948
3.979,46,115.15
3.989,46,114.972
4,46,115.257
4.011,46,116.198
4.021,46,116.892
4.032,46,117.012
4.043,46,117.584
4.054,46,117.126
4.064,46,117.441
4.075,46,116.679
4.086,46,116.563
4.096,46,117.092
4.107,46,116.19
4.129,70,468.015
4.139,70,465.794
4.15,70,465.901
4.161,70,462.742
4.171,70,465.216
4.182,70,465.198
4.225,51,152.231
4.236,50,148.342
4.246,50,146.314
4.257,50,145.624
4.268,50,144.987
4.279,50,143.976
4.289,50,143.014
4.3,49,142.02
4.311,49,141.189
4.321,49,141.048
4.332,49,140.716
4.343,49,140.686
4.354,49,140.216
4.364,49,140.412
4.375,49,140.013
4.386,49,139.681
4.396,49,138.627
4.407,49,138.807
4.418,49,138.983
4.429,49,138.508
4.439,49,138.087
4.45,49,137.666
4.461,49,137.254
4.471,49,136.647
4.482,49,135.499
4.493,49,135.044
4.504,49,135.035
4.514,49,134.874
4.525,49,134.743
4.536,49,135.206
4.546,49,135.032
4.557,49,134.838
4.568,48,134.632
4.579,48,134.027
4.589,48,133.587
4.6,48,134.177
4.611,49,134.716
4.621,49,135.138
4.632,49,134.701
4.643,48,133.876
4.654,48,133.838
4.664,48,133.658
4.675,48,133.86
4.686,48,134.427
4.696,48,134.631
4.707,48,134.64
4.718,48,134.399
4.729,48,133.948
4.739,48,133.964
4.75,49,134.698
4.761,49,134.944
4.771,49,135.317
4.782,49,135.458
4.793,48,133.763
4.804,48,131.035
4.814,48,129.256
4.825,48,128.09
4.836,46,116.129
4.857,70,464.708
4.868,70,463.097
4.879,70,463.562
4.889,70,462.755
4.911,51,157.148
4.921,51,154.215
4.932,50,150.167
4.943,50,148.6
4.954,50,148.594
4.964,50,148.74
4.975,50,148.806
4.986,50,148.722
4.996,50,149.004
5.007,50,149.71
5.018,50,150.086
5.029,50,150.262
5.039,50,150.334
5.05,50,150.373
5.061,50,149.754
5.071,50,145.944
5.082,50,150.903
5.093,51,153.273
5.104,51,154.447
5.114,51,154.284
5.125,51,154.757
5.136,51,156.326
5.146,53,173.368
5.157,53,171.673
5.168,53,169.965
5.179,52,167.683
5.189,52,165.183
5.2,52,162.955
5.211,52,161.984
5.221,52,162.004
5.232,52,162.267
5.243,52,162.304
5.254,52,162.187
5.264,52,162.028
5.275,52,162.114
5.286,52,162.136
5.296,52,162.016
5.307,52,162.319
5.318,52,162.645
5.329,52,162.401
5.339,52,162.411
5.35,52,162.383
5.361,52,162.1
5.371,52,161.445
5.382,52,161.032
5.393,52,160.956
5.404,52,160.911
5.414,52,160.824
5.425,52,160.584
5.436,52,160.908
5.446,52,161.865
5.457,52,161.993
5.468,52,160.949
