time,semitone,f0
0.02,70,465.761
0.03,70,463.231
0.04,70,466.163
0.05,70,465.338
0.06,70,467.405
0.07,70,466.537
0.08,70,468.498
0.09,70,467.912
0.1,70,468.935
0.11,70,468.222
0.12,70,465.534
0.13,70,464.943
0.14,70,461.455
0.15,70,462.685
0.16,70,461.935
0.17,70,463.553
0.18,70,462.84
0.19,70,467.16
0.2,70,468.04
0.21,70,464.086
0.22,70,464.601
0.23,70,463.577
0.24,70,464.34
0.25,70,463.453
0.26,70,464.713
0.27,70,464.728
0.28,70,467.325
0.29,70,464.413
0.3,70,466.239
0.31,70,462.43
0.32,70,463.725
0.33,70,466.176
0.34,70,463.282
0.35,70,464.285
0.36,70,462.887
0.37,70,465.355
0.38,70,464.967
0.39,70,468.021
0.4,70,461.404
0.41,70,463.051
0.42,70,462.874
0.43,70,464.273
0.44,70,466.889
0.45,70,463.4
0.46,70,464.915
0.47,70,461.745
0.48,70,465.935
0.49,70,462.415
0.5,70,463.337
0.51,70,464.583
0.52,70,464.611
0.53,70,465.512
0.54,70,461.333
0.55,70,463.827
0.56,70,462.051
0.57,70,463.035
0.58,70,459.02
0.59,70,462.846
0.6,70,463.797
0.61,70,467.02
0.62,70,465.825
0.63,70,462.31
0.64,70,461.674
0.65,70,464.164
0.66,70,465.79
0.67,70,463.464
0.68,70,463.881
0.69,70,463.162
0.7,70,466.015
0.71,70,461.743
0.72,70,463.112
0.73,70,464.369
0.74,70,464.881
0.75,70,465.037
0.76,70,464.04
0.77,70,463.126
0.78,70,463.5
0.79,70,468.395
0.8,70,465.201
0.81,70,465.127
0.82,70,461.754
0.83,70,464.069
0.84,70,465.595
0.85,70,464.967
0.86,70,464.491
0.88,51,154.907
0.89,50,149.82
0.9,49,137.697
0.91,48,134.127
0.92,48,133.329
0.93,48,131.997
0.94,48,131.422
0.95,48,131.198
0.96,48,131.257
0.97,48,131.56
0.98,48,130.49
0.99,48,130.809
1.0,48,132.297
1.01,48,133.779
1.02,48,133.695
1.03,49,136.148
1.04,49,137.036
1.05,49,138.577
1.06,49,138.642
1.07,49,138.254
1.08,49,138.489
1.09,49,139.32
1.1,49,138.848
1.11,49,137.43
1.12,49,135.692
1.13,48,134.534
1.14,48,134.326
1.15,49,134.999
1.16,49,134.676
1.17,48,134.078
1.18,48,134.557
1.19,48,133.994
1.2,48,132.905
1.21,50,150.243
1.22,51,153.807
1.23,51,154.695
1.24,51,153.977
1.25,51,154.392
1.26,51,155.294
1.27,53,172.455
1.28,51,159.815
1.29,50,147.063
1.3,50,145.663
1.31,50,145.479
1.32,50,145.151
1.33,50,144.747
1.34,50,144.858
1.35,50,144.79
1.36,50,144.792
1.37,50,144.876
1.38,50,145.315
1.39,50,145.357
1.4,50,145.615
1.41,50,143.568
1.42,50,144.739
1.43,50,143.043
1.44,49,141.276
1.45,49,141.387
1.46,50,149.23
1.47,52,160.202
1.48,51,157.995
1.49,51,159.305
1.5,52,161.488
1.51,51,158.762
1.52,51,157.628
1.53,51,157.111
1.54,51,156.747
1.55,51,156.646
1.56,51,157.06
1.57,51,157.155
1.58,51,157.084
1.59,51,157.099
1.6,51,157.523
1.61,51,157.857
1.62,51,158.165
1.63,51,158.611
1.64,51,158.679
1.65,51,159.058
1.66,52,160.177
1.67,52,160.917
1.68,52,161.652
1.69,52,162.066
1.7,52,162.385
1.71,52,162.378
1.72,52,162.347
1.73,52,162.292
1.74,52,162.229
1.75,52,162.406
1.76,52,162.202
1.77,52,162.104
1.78,52,162.349
1.79,52,162.268
1.8,52,161.984
1.81,52,161.894
1.82,52,161.106
1.83,52,160.234
1.84,51,154.048
1.85,51,156.087
1.86,51,154.059
1.87,51,153.723
1.88,51,153.151
1.89,51,153.288
1.9,51,154.993
1.91,52,164.756
1.92,52,164.223
1.93,52,163.911
1.94,52,162.485
1.95,52,160.791
1.96,51,160.119
1.97,51,160.03
1.98,51,159.93
1.99,51,159.919
2.0,51,159.72
2.01,51,159.814
2.02,51,160.089
2.03,52,160.656
2.04,52,161.013
2.05,52,160.971
2.06,52,161.008
2.07,52,161.135
2.08,52,161.576
2.09,52,162.058
2.1,52,162.385
2.11,52,162.533
2.12,52,162.828
2.13,52,163.35
2.14,52,163.018
2.15,52,162.825
2.16,52,162.452
2.17,52,162.284
2.18,52,163.0
2.19,52,163.073
2.2,52,163.483
2.21,52,164.113
2.22,52,164.057
2.23,52,163.944
2.24,52,163.765
2.25,52,163.327
2.26,52,162.578
2.27,52,161.952
2.28,52,161.147
2.29,51,159.544
2.3,51,154.699
2.31,51,153.753
2.32,51,151.701
2.33,51,151.218
2.34,50,150.901
2.35,51,152.722
2.36,51,154.397
2.37,51,154.084
2.38,51,155.116
2.39,51,153.996
2.41,53,170.038
2.42,52,160.621
2.43,51,156.614
2.44,50,150.457
2.45,50,148.52
2.46,50,148.319
2.47,50,148.322
2.48,50,148.298
2.49,50,148.229
2.5,50,148.326
2.51,50,148.632
2.52,50,148.47
2.53,50,147.813
2.54,50,147.316
2.55,50,146.269
2.56,49,140.425
2.57,49,140.128
2.58,49,135.857
2.59,48,132.721
2.6,48,133.333
2.61,50,142.776
2.62,49,141.938
2.63,49,141.263
2.64,49,139.757
2.65,49,138.705
2.66,49,139.057
2.67,49,138.963
2.68,49,138.163
2.69,49,137.329
2.7,49,136.497
2.71,49,135.23
2.72,48,134.236
2.73,48,134.625
2.74,48,134.251
2.75,48,134.024
2.76,48,133.825
2.77,48,132.471
2.78,48,129.598
2.79,48,132.116
2.8,48,131.452
2.81,48,132.235
2.82,49,135.167
2.83,50,148.117
2.84,50,149.07
2.85,50,147.897
2.86,50,147.386
2.87,50,147.514
2.88,50,147.212
2.89,50,147.329
2.9,50,147.365
2.91,50,147.503
2.92,50,148.309
2.93,50,148.714
2.94,50,149.25
2.95,50,151.081
2.96,51,151.199
2.97,50,149.075
2.98,51,152.618
2.99,51,152.915
3.0,51,153.791
3.01,51,155.829
3.02,53,170.891
3.03,53,171.385
3.04,53,171.652
3.05,53,169.767
3.06,52,166.942
3.07,52,165.371
3.08,52,164.345
3.09,52,164.192
3.1,52,164.27
3.11,52,164.618
3.12,52,165.313
3.13,52,166.038
3.14,52,166.431
3.15,52,166.582
3.16,52,166.306
3.17,52,165.248
3.18,52,163.383
3.19,51,159.561
3.2,51,154.451
3.21,51,154.696
3.22,51,151.775
3.23,51,152.425
3.24,51,154.423
3.25,51,154.5
3.26,51,153.668
3.3,50,142.882
3.31,49,141.796
3.32,49,139.294
3.33,49,138.645
3.34,49,138.422
3.35,49,138.781
3.36,49,138.35
3.37,49,138.31
3.38,49,138.682
3.39,49,138.519
3.4,49,138.211
3.41,49,138.567
3.42,49,138.372
3.43,49,138.059
3.44,49,137.588
3.45,49,137.189
3.46,49,136.804
3.47,49,137.002
3.48,49,137.248
3.49,49,137.513
3.5,49,137.421
3.51,49,136.998
3.52,49,136.574
3.53,49,136.528
3.54,49,136.364
3.55,49,136.6
3.56,49,136.285
3.57,49,136.179
3.58,49,136.084
3.59,49,135.604
3.6,49,135.491
3.61,49,135.732
3.62,49,134.727
3.63,48,130.216
3.64,48,131.028
3.65,46,119.753
3.66,46,117.764
3.67,46,117.224
3.68,51,153.018
3.69,51,153.883
3.7,51,154.772
3.74,47,126.299
3.75,47,122.635
3.76,47,120.772
3.77,46,118.357
3.78,46,117.127
3.79,46,115.621
3.8,46,114.536
3.81,46,115.048
3.82,46,114.66
3.83,46,114.066
