beats,note_index
16/3,65.0
6.5,65.0
7.5,61.0
8.0,68.0
29/3,65.0
10.75,61.0
11.75,65.0
12.75,61.0
14.5,58.0
22.5,65.0
23.5,65.0
74/3,61.0
25.25,68.0
26.75,65.0
27.75,61.0
29.0,63.0
30.5,65.0
36.5,58.0
37.0,60.0
37.5,61.0
38.0,58.0
39.0,70.0
44.5,58.0
45.0,58.0
45.5,60.0
46.0,61.0
140/3,72.0
48.25,68.0
151/3,65.0
57.75,65.0
59.0,68.0
60.0,66.0
185/3,65.0
63.25,67.0
66.5,58.0
67.5,68.0
209/3,65.0
78.25,65.0
79.25,65.0
241/3,61.0
81.0,68.0
82.5,65.0
83.5,61.0
254/3,65.0
85.75,61.0
262/3,58.0
286/3,65.0
96.5,65.0
97.5,61.0
98.0,68.0
299/3,65.0
100.75,61.0
101.75,63.0
310/3,65.0
113.5,58.0
114.0,60.0
344/3,61.0
115.25,58.0
116.25,70.0
365/3,58.0
122.25,58.0
368/3,60.0
123.25,61.0
123.75,72.0
376/3,68.0
127.5,65.0
135.0,65.0
136.0,68.0
137.25,66.0
138.75,65.0
421/3,67.0
143.5,58.0
434/3,68.0
146.75,65.0
154.25,61.0
466/3,68.0
156.5,68.0
157.5,65.0
158.5,63.0
479/3,70.0
160.75,70.0
161.75,63.0
162.75,73.0
164.0,72.0
164.5,70.0
166.0,68.0
167.25,65.0
524/3,65.0
175.25,66.0
175.75,68.0
176.75,61.0
532/3,61.0
535/3,70.0
180.0,68.0
181.0,61.0
545/3,61.0
548/3,68.0
184.25,65.0
187.5,65.0
188.0,63.0
188.5,65.0
197.25,61.0
198.25,68.0
199.25,68.0
601/3,65.0
201.5,63.0
202.5,70.0
203.5,70.0
614/3,72.0
205.75,73.0
206.75,72.0
622/3,70.0
209.0,68.0
209.5,61.0
217.5,58.0
218.0,60.0
218.5,61.0
221.75,60.0
667/3,61.0
222.75,65.0
226.0,61.0
683/3,58.0
236.75,65.0
237.75,65.0
239.0,61.0
239.5,68.0
241.0,65.0
242.25,61.0
243.25,65.0
244.25,61.0
246.0,58.0
254.0,65.0
255.0,65.0
256.0,61.0
770/3,68.0
258.25,65.0
259.25,61.0
781/3,63.0
262.0,65.0
267.75,58.0
805/3,60.0
269.0,61.0
269.5,58.0
270.5,70.0
276.0,58.0
276.5,58.0
277.0,60.0
277.5,61.0
278.0,72.0
839/3,68.0
281.75,65.0
289.25,65.0
871/3,68.0
291.5,66.0
293.0,65.0
884/3,67.0
297.75,58.0
299.0,68.0
301.0,65.0
308.5,61.0
929/3,68.0
310.75,68.0
311.75,65.0
312.75,63.0
314.0,70.0
315.0,70.0
316.0,63.0
317.25,73.0
318.25,72.0
318.75,70.0
961/3,68.0
321.5,65.0
329.0,65.0
329.5,66.0
330.0,68.0
331.0,61.0
995/3,61.0
998/3,70.0
334.25,68.0
1006/3,61.0
336.0,61.0
337.0,68.0
338.5,65.0
341.75,65.0
1027/3,63.0
342.75,65.0
351.5,61.0
352.5,68.0
353.5,68.0
1064/3,65.0
355.75,63.0
356.75,70.0
357.75,70.0
359.0,72.0
360.0,73.0
361.0,72.0
1085/3,70.0
363.25,68.0
363.75,61.0
371.75,58.0
1117/3,60.0
372.75,61.0
376.0,60.0
1130/3,61.0
1133/3,65.0
1141/3,61.0
381.5,58.0
390.0,61.0
391.0,68.0
392.25,68.0
393.25,65.0
394.25,63.0
1186/3,70.0
396.5,70.0
397.5,63.0
398.5,73.0
1199/3,72.0
400.25,70.0
401.75,68.0
402.75,65.0
1231/3,65.0
411.0,66.0
411.5,68.0
412.5,61.0
413.0,61.0
414.0,70.0
415.75,68.0
416.75,61.0
1252/3,61.0
1255/3,68.0
420.0,65.0
423.25,65.0
423.75,63.0
424.25,65.0
432.75,61.0
434.0,68.0
435.0,68.0
436.0,65.0
437.25,63.0
438.25,70.0
439.25,70.0
1321/3,72.0
441.5,73.0
442.5,72.0
443.0,70.0
1334/3,68.0
445.25,58.0
453.25,58.0
453.75,60.0
454.25,61.0
457.5,60.0
458.0,61.0
458.5,65.0
461.75,61.0
464.0,70.0
