beats,note_index
0.0,81.0
0.5,81.0
0.75,79.0
0.75,81.0
1.0,79.0
4/3,76.0
1.75,79.0
2.0,76.0
2.25,76.0
2.5,74.0
8/3,76.0
3.5,74.0
4.0,74.0
4.25,72.0
13/3,74.0
14/3,74.0
4.75,79.0
5.25,79.0
5.5,76.0
5.75,76.0
6.0,74.0
6.25,76.0
7.0,81.0
7.5,81.0
7.75,79.0
8.0,81.0
8.0,79.0
25/3,76.0
8.75,77.0
9.0,77.0
9.0,77.0
9.25,76.0
9.5,74.0
29/3,76.0
10.5,79.0
11.0,79.0
11.25,79.0
34/3,79.0
35/3,79.0
11.75,79.0
12.0,83.0
37/3,81.0
12.5,81.0
38/3,81.0
12.75,81.0
13.0,79.0
13.25,81.0
14.0,84.0
14.5,84.0
44/3,84.0
15.0,83.0
15.25,81.0
46/3,79.0
15.75,81.0
16.0,81.0
16.25,81.0
16.25,81.0
16.5,79.0
16.75,81.0
17.0,79.0
17.25,76.0
53/3,79.0
18.0,79.0
55/3,79.0
18.5,79.0
56/3,79.0
19.0,79.0
19.25,83.0
58/3,81.0
59/3,81.0
19.75,81.0
19.75,81.0
20.0,79.0
20.25,81.0
68/3,81.0
23.0,81.0
70/3,79.0
23.5,81.0
23.75,79.0
24.0,76.0
73/3,79.0
74/3,76.0
24.75,76.0
25.0,74.0
25.25,76.0
26.25,74.0
26.5,74.0
27.0,72.0
27.0,74.0
27.25,74.0
27.5,79.0
28.0,79.0
28.25,76.0
85/3,76.0
28.5,74.0
28.75,76.0
89/3,81.0
30.0,81.0
30.5,79.0
30.5,81.0
30.75,79.0
31.0,76.0
94/3,77.0
95/3,77.0
31.75,77.0
31.75,76.0
32.0,74.0
97/3,76.0
33.25,79.0
101/3,79.0
34.0,79.0
34.0,79.0
34.25,79.0
34.5,79.0
34.75,83.0
35.0,81.0
35.25,81.0
35.25,81.0
106/3,81.0
107/3,79.0
35.75,81.0
110/3,84.0
37.25,84.0
112/3,84.0
37.5,83.0
38.0,81.0
38.0,79.0
38.5,81.0
116/3,81.0
38.75,81.0
39.0,81.0
39.25,79.0
118/3,81.0
119/3,79.0
39.75,76.0
40.25,79.0
122/3,79.0
41.0,79.0
41.0,79.0
124/3,79.0
41.5,79.0
41.75,83.0
42.0,81.0
42.25,81.0
127/3,81.0
42.5,81.0
42.75,79.0
43.0,81.0
44.0,81.0
44.5,81.0
44.75,79.0
45.0,81.0
45.25,79.0
136/3,76.0
45.75,79.0
46.0,76.0
46.25,76.0
46.5,74.0
46.75,76.0
143/3,74.0
48.0,74.0
145/3,72.0
48.5,74.0
146/3,74.0
49.0,79.0
148/3,79.0
149/3,76.0
49.75,76.0
50.0,74.0
50.25,76.0
51.0,81.0
51.5,81.0
51.75,79.0
52.0,81.0
52.25,79.0
52.5,76.0
52.75,77.0
53.0,77.0
53.25,77.0
160/3,76.0
53.5,74.0
53.75,76.0
164/3,79.0
55.0,79.0
166/3,79.0
55.5,79.0
55.75,79.0
56.0,79.0
56.25,83.0
169/3,81.0
170/3,81.0
56.75,81.0
56.75,81.0
57.0,79.0
57.25,81.0
58.25,84.0
58.5,84.0
58.75,84.0
59.0,83.0
178/3,81.0
59.5,79.0
60.0,81.0
60.25,81.0
60.25,81.0
181/3,81.0
182/3,79.0
60.75,81.0
61.25,79.0
61.25,76.0
185/3,79.0
62.25,79.0
62.5,79.0
62.5,79.0
62.75,79.0
63.0,79.0
63.25,83.0
63.5,81.0
63.75,81.0
63.75,81.0
64.0,81.0
64.25,79.0
193/3,81.0
65.25,84.0
197/3,84.0
66.0,84.0
66.0,83.0
66.5,81.0
66.5,79.0
67.0,81.0
67.25,81.0
202/3,81.0
67.5,81.0
203/3,79.0
68.0,81.0
68.25,79.0
205/3,76.0
68.75,79.0
69.25,79.0
69.5,79.0
209/3,79.0
70.0,79.0
70.25,79.0
211/3,83.0
70.5,81.0
70.75,81.0
71.0,81.0
71.0,81.0
71.25,79.0
71.5,81.0
217/3,79.0
72.75,79.0
73.0,79.0
73.25,79.0
73.5,79.0
221/3,79.0
74.0,83.0
74.25,81.0
223/3,81.0
74.5,81.0
224/3,81.0
74.75,79.0
75.0,81.0
76.0,79.0
229/3,79.0
230/3,79.0
76.75,79.0
77.0,79.0
77.25,79.0
77.5,83.0
233/3,81.0
78.0,81.0
78.0,81.0
78.25,81.0
235/3,79.0
236/3,81.0
