beats,note_index
3.0,69.0
13/3,74.0
5.75,74.0
8.0,69.0
8.25,71.0
8.5,67.0
10.0,64.0
10.75,67.0
11.5,62.0
17.25,67.0
18.25,67.0
56/3,64.0
58/3,67.0
20.0,69.0
21.5,71.0
22.25,74.0
22.75,69.0
31.5,69.0
33.0,74.0
34.25,74.0
36.5,69.0
36.75,71.0
37.25,67.0
116/3,64.0
118/3,67.0
40.0,64.0
45.75,62.0
46.75,62.0
47.25,64.0
48.0,67.0
48.5,69.0
148/3,71.0
50.75,64.0
51.5,62.0
62.75,74.0
64.0,74.0
193/3,74.0
65.0,71.0
196/3,74.0
65.75,76.0
66.5,76.0
68.25,74.0
68.5,71.0
208/3,76.0
70.0,76.0
70.75,74.0
71.0,76.0
71.5,74.0
71.75,71.0
72.25,69.0
77.25,74.0
78.0,69.0
78.25,71.0
236/3,67.0
238/3,64.0
80.0,62.0
81.0,64.0
81.5,67.0
82.75,64.0
251/3,74.0
253/3,76.0
254/3,74.0
85.0,71.0
85.5,74.0
85.75,71.0
86.5,69.0
95.0,74.0
96.0,74.0
289/3,74.0
97.0,71.0
292/3,74.0
97.75,76.0
98.5,76.0
100.25,74.0
302/3,71.0
304/3,76.0
102.0,76.0
102.75,74.0
103.0,76.0
103.5,74.0
104.0,71.0
104.25,69.0
109.25,74.0
110.0,69.0
110.25,71.0
332/3,67.0
334/3,64.0
112.0,62.0
113.25,64.0
113.5,67.0
115.0,64.0
347/3,69.0
349/3,67.0
116.75,69.0
117.0,64.0
117.75,62.0
