beats,note_index
3.0,60.0
3.5,62.0
4.0,64.0
5.5,65.0
6.0,65.0
7.5,67.0
8.0,67.0
10.0,64.0
11.0,67.0
11.5,67.0
12.0,65.0
13.5,64.0
14.0,65.0
15.0,62.0
16.0,64.0
19.0,60.0
19.5,62.0
20.0,64.0
21.5,65.0
22.0,65.0
23.5,67.0
24.0,67.0
26.0,64.0
27.0,67.0
28.0,65.0
29.5,64.0
30.0,65.0
31.0,62.0
32.0,60.0
35.0,67.0
35.5,67.0
36.0,72.0
37.5,71.0
38.0,69.0
39.5,67.0
40.0,67.0
42.0,64.0
43.0,67.0
43.5,67.0
44.0,65.0
45.5,64.0
46.0,65.0
47.0,62.0
48.0,64.0
51.0,67.0
51.5,67.0
52.0,72.0
53.5,71.0
54.0,69.0
55.5,67.0
56.0,67.0
58.0,64.0
59.0,67.0
59.5,67.0
60.0,65.0
61.5,64.0
62.0,65.0
63.0,62.0
64.0,60.0
68.0,67.0
72.0,65.0
74.0,62.0
76.0,60.0
78.0,62.0
80.0,64.0
83.0,67.0
84.0,72.0
85.5,71.0
86.0,69.0
87.5,67.0
88.0,67.0
90.0,64.0
91.0,67.0
91.5,67.0
92.0,65.0
93.5,64.0
94.0,65.0
95.0,62.0
96.0,60.0
