beats,note_index
0.0,71.0
0.25,69.0
0.5,66.0
0.75,67.0
1.0,71.0
1.25,69.0
1.5,67.0
1.75,66.0
2.0,64.0
2.5,64.0
2.75,72.0
3.0,71.0
4.0,71.0
4.25,69.0
4.5,66.0
4.75,67.0
5.0,71.0
5.25,69.0
5.5,67.0
5.75,66.0
6.0,64.0
6.5,64.0
6.75,64.0
7.0,64.0
8.0,64.0
8.25,64.0
8.5,69.0
8.75,72.0
9.0,71.0
9.5,76.0
9.75,72.0
10.0,71.0
10.5,71.0
10.75,69.0
11.0,71.0
12.0,71.0
12.25,69.0
12.5,66.0
12.75,67.0
13.0,71.0
13.25,69.0
13.5,67.0
13.75,66.0
14.0,64.0
14.5,64.0
14.75,72.0
15.0,71.0
16.0,71.0
16.25,69.0
16.5,66.0
16.75,67.0
17.0,71.0
17.25,69.0
17.5,67.0
17.75,66.0
18.0,64.0
18.5,64.0
18.75,64.0
19.0,64.0
20.0,64.0
20.25,67.0
20.5,67.0
20.75,67.0
21.0,67.0
21.75,66.0
22.0,64.0
22.25,67.0
22.5,66.0
22.75,64.0
23.0,66.0
24.0,66.0
24.25,67.0
24.5,69.0
24.75,72.0
25.0,71.0
25.25,69.0
25.5,67.0
25.75,66.0
26.0,64.0
26.5,64.0
26.75,64.0
27.0,64.0
