time,semitone,f0
0.604,48,132.078
0.627,48,132.078
0.65,48,132.078
0.673,48,133.356
0.697,49,134.646
0.72,49,135.948
0.743,43,96.439
0.766,49,136.385
0.789,65,340.377
0.813,65,342.568
0.836,53,172.387
2.252,47,123.471
2.276,62,286.222
2.299,62,297.459
2.322,62,286.222
2.345,61,278.967
2.368,61,270.157
2.392,60,266.712
2.415,60,266.712
2.438,47,120.728
2.461,47,119.956
2.485,46,118.426
2.694,60,259.952
2.717,67,382.06
2.74,67,382.06
2.763,66,379.616
2.786,66,374.774
2.81,49,140.833
3.135,46,118.426
3.158,48,132.078
3.181,48,132.078
3.204,46,118.807
