time,semitone,f0
1.184,47,120.728
1.207,47,121.506
1.347,47,125.871
1.37,62,299.374
1.393,63,303.241
1.416,63,305.194
1.44,48,129.976
1.463,48,129.144
1.649,46,117.668
1.672,46,113.952
1.695,46,113.952
1.765,59,253.363
1.788,60,259.952
1.811,60,266.712
1.834,61,270.157
1.904,62,285.305
1.927,62,286.222
2.043,60,266.712
2.067,60,266.712
2.09,60,266.712
2.113,60,263.31
2.136,46,119.188
2.485,48,128.731
2.508,63,309.137
2.531,63,315.146
2.554,63,317.176
2.577,63,317.176
5.526,65,353.74
5.55,65,353.74
5.573,65,353.74
5.596,65,358.31
5.619,59,240.683
5.642,59,251.742
5.666,60,263.31
5.689,61,270.157
5.921,59,253.363
5.944,59,253.363
5.968,60,254.995
6.2,44,105.845
6.223,56,205.004
6.246,56,204.347
6.269,56,205.004
6.293,56,203.692
6.316,44,105.168
6.339,44,105.168
