time,semitone,f0
0.025,83,997.453
0.036,83,976.138
0.121,82,953.953
0.132,82,925.054
0.143,81,872.195
0.154,81,904.106
0.164,82,918.242
0.175,82,936.74
0.336,93,1718.891
0.346,93,1741.046
0.721,46,119.693
0.732,48,128.179
0.743,48,128.375
0.754,48,129.961
0.764,48,131.575
0.775,48,131.343
0.786,48,132.074
0.796,48,132.688
0.807,48,133.178
0.818,48,133.171
0.829,48,132.316
0.839,48,131.257
0.85,48,129.394
0.861,48,127.8
0.871,47,126.514
0.882,47,125.777
0.893,47,125.149
0.904,47,124.42
0.914,47,123.783
0.925,47,122.829
0.936,47,122.631
0.946,47,123.352
0.957,47,124.436
0.968,47,125.812
0.979,47,126.494
0.989,48,127.566
1,48,128.544
1.011,48,128.588
1.021,48,128.597
1.032,48,128.68
1.043,48,129.244
1.054,48,129.367
1.064,48,129.089
1.075,48,128.88
1.086,48,128.844
1.096,48,128.63
1.107,48,128.708
1.118,48,128.994
1.129,48,129.524
1.139,48,130.216
1.15,48,130.378
1.161,48,129.982
1.171,48,129.174
1.182,48,128.698
1.193,48,128.518
1.204,48,128.386
1.214,48,129.068
1.225,48,129.454
1.236,48,129.081
1.246,48,128.432
1.257,48,128.053
1.268,48,127.995
1.279,48,128.208
1.289,48,128.473
1.3,48,129.118
1.311,48,130.092
1.321,48,130.395
1.332,48,131.569
1.343,48,132.58
1.354,48,132.654
1.364,48,133.726
1.375,49,134.754
1.386,49,135.901
1.396,49,138.587
1.407,49,140.895
1.418,49,141.56
1.429,50,142.701
1.439,50,143.911
1.45,50,144.905
1.461,50,145.754
1.471,50,146.996
1.482,50,147.579
1.493,50,147.749
1.504,50,147.951
1.514,50,148.714
1.525,50,149.353
1.536,50,149.915
1.546,50,150.351
1.557,50,150.159
1.568,50,149.685
1.579,50,148.758
1.589,50,149.592
1.6,50,150.101
1.611,50,150.788
1.621,51,152.436
1.632,51,155.867
1.643,52,161.062
1.654,52,162.523
1.664,52,164.394
1.675,52,165.897
1.686,52,166.834
1.696,52,167.732
1.707,52,168.579
1.718,52,168.821
1.729,52,168.361
1.739,52,167.141
1.75,52,165.679
1.761,52,164.51
1.771,52,163.366
1.782,52,162.844
1.793,52,162.991
1.804,52,163.408
1.814,52,163.697
1.825,52,163.723
1.836,52,163.796
1.846,52,163.728
1.857,52,163.731
1.868,52,164.091
1.879,52,164.32
1.889,52,164.269
1.9,52,164.156
1.911,52,163.966
1.921,52,164.264
1.932,52,164.538
1.943,52,164.069
1.954,52,163.118
1.964,52,162.335
1.975,52,161.992
1.986,52,162.01
1.996,52,161.676
2.007,52,160.815
2.018,52,160.721
2.029,52,160.31
2.039,52,160.331
2.05,52,160.875
2.061,52,162.347
